Channel	X	Y
Start Time	9/18/2019  16:29:09.	9/18/2019  16:29:09.
Chart History (Refresh Period)	3.829480E-5	3.829480E-5

Time	X	Y
9/18/2019  16:29:09.	8.508417E-2	3.989114E+0
9/18/2019  16:29:09.	8.588942E-2	4.025512E+0
9/18/2019  16:29:09.	8.766096E-2	4.064325E+0
9/18/2019  16:29:09.	8.443997E-2	4.098147E+0
9/18/2019  16:29:09.	8.588942E-2	4.133417E+0
9/18/2019  16:29:09.	8.782201E-2	4.165306E+0
9/18/2019  16:29:09.	9.055985E-2	4.197033E+0
9/18/2019  16:29:09.	8.894936E-2	4.228761E+0
9/18/2019  16:29:09.	9.184825E-2	4.260971E+0
9/18/2019  16:29:09.	9.281454E-2	4.290605E+0
9/18/2019  16:29:09.	9.039880E-2	4.321205E+0
9/18/2019  16:29:09.	9.184825E-2	4.347940E+0
9/18/2019  16:29:09.	9.329769E-2	4.373870E+0
9/18/2019  16:29:09.	9.378084E-2	4.401088E+0
9/18/2019  16:29:09.	9.506924E-2	4.425890E+0
9/18/2019  16:29:09.	9.555238E-2	4.451015E+0
9/18/2019  16:29:09.	9.442504E-2	4.475173E+0
9/18/2019  16:29:09.	9.716288E-2	4.497398E+0
9/18/2019  16:29:09.	9.667973E-2	4.517691E+0
9/18/2019  16:29:09.	9.684078E-2	4.538467E+0
9/18/2019  16:29:09.	9.651868E-2	4.559887E+0
9/18/2019  16:29:09.	1.011891E-1	4.578408E+0
9/18/2019  16:29:09.	9.555238E-2	4.595963E+0
9/18/2019  16:29:09.	9.845127E-2	4.611424E+0
9/18/2019  16:29:09.	1.013502E-1	4.628335E+0
9/18/2019  16:29:09.	9.667973E-2	4.644602E+0
9/18/2019  16:29:09.	1.011891E-1	4.657808E+0
9/18/2019  16:29:09.	1.000618E-1	4.671981E+0
9/18/2019  16:29:09.	1.044101E-1	4.682932E+0
9/18/2019  16:29:09.	1.010281E-1	4.695334E+0
9/18/2019  16:29:09.	1.036049E-1	4.705158E+0
9/18/2019  16:29:09.	1.039270E-1	4.714821E+0
9/18/2019  16:29:09.	1.037659E-1	4.721908E+0
9/18/2019  16:29:09.	1.027996E-1	4.730121E+0
9/18/2019  16:29:09.	1.010281E-1	4.737047E+0
9/18/2019  16:29:09.	1.042491E-1	4.741234E+0
9/18/2019  16:29:09.	1.065037E-1	4.746549E+0
9/18/2019  16:29:09.	1.011891E-1	4.749126E+0
9/18/2019  16:29:09.	1.023165E-1	4.751058E+0
9/18/2019  16:29:09.	9.829022E-2	4.754118E+0
9/18/2019  16:29:09.	1.019944E-1	4.753957E+0
9/18/2019  16:29:09.	1.039270E-1	4.752830E+0
9/18/2019  16:29:09.	1.007060E-1	4.752347E+0
9/18/2019  16:29:09.	9.909547E-2	4.748482E+0
9/18/2019  16:29:09.	1.011891E-1	4.746227E+0
9/18/2019  16:29:09.	1.016723E-1	4.742684E+0
9/18/2019  16:29:09.	1.005449E-1	4.735919E+0
9/18/2019  16:29:09.	1.005449E-1	4.732054E+0
9/18/2019  16:29:09.	1.018333E-1	4.722874E+0
9/18/2019  16:29:09.	9.764603E-2	4.715626E+0
9/18/2019  16:29:09.	1.005449E-1	4.705480E+0
9/18/2019  16:29:09.	1.021554E-1	4.694367E+0
9/18/2019  16:29:09.	9.667973E-2	4.684060E+0
9/18/2019  16:29:09.	1.015112E-1	4.672464E+0
9/18/2019  16:29:09.	9.732393E-2	4.661029E+0
9/18/2019  16:29:09.	9.877337E-2	4.645246E+0
9/18/2019  16:29:09.	9.973967E-2	4.629140E+0
9/18/2019  16:29:09.	9.539133E-2	4.614484E+0
9/18/2019  16:29:09.	9.845127E-2	4.595641E+0
9/18/2019  16:29:09.	9.732393E-2	4.579214E+0
9/18/2019  16:29:09.	9.748498E-2	4.558760E+0
9/18/2019  16:29:09.	9.490819E-2	4.538628E+0
